"Function","Random_effect","Actinobacteriota_slope","Bacteroidota_slope","Firmicutes_slope","Proteobacteria_slope","Actinobacteriota_pred_70","Actinobacteriota_pred_80","Actinobacteriota_pred_90","Actinobacteriota_pred_100","Bacteroidota_pred_70","Bacteroidota_pred_80","Bacteroidota_pred_90","Bacteroidota_pred_100","Firmicutes_pred_70","Firmicutes_pred_80","Firmicutes_pred_90","Firmicutes_pred_100","Proteobacteria_pred_70","Proteobacteria_pred_80","Proteobacteria_pred_90","Proteobacteria_pred_100","R2_m","R2_c","pvalue","pvalue_int"
"M00051","Random_slope",0.152577550966758,0.112319532219419,0.0739201663157956,0.0427624586833532,0.390441063990129,0.746553949634057,0.931252649222176,0.984200757814873,0.722813007935887,0.889107169733664,0.96101634118106,0.986978471252665,0.621992847620933,0.77507924572862,0.878298886422656,0.93794210385744,0.450878061503902,0.557371456434162,0.658839199482415,0.747580605113531,0.0775529509587013,0.113659293037386,6.49000509491869e-07,0.0036307772732113
"M00052","Random_intercept",0.0177662341658997,0.0511780746653925,0.0306788909249228,0.0671724364931487,0.594048322744483,0.636079675883846,0.676131763927367,0.71375947081541,0.642599938037633,0.749969067252089,0.833443048185366,0.893023987403742,0.446419360872342,0.522894045217916,0.598310192583738,0.669343670173154,0.513843378215319,0.674171208509173,0.801999177600343,0.888008741033451,0.0805001233355914,0.0878396521249297,4.53600361571835e-19,0.0623429772028962
"M00053","Random_intercept",0.0652387755993641,0.0327930045560563,0.0210054388848312,0.0422012139999846,0.342478226244791,0.500029489796481,0.657574897505462,0.786657394259362,0.483430545983851,0.565036436191285,0.643263723311734,0.714530000749552,0.339464579522775,0.38802379162538,0.438913590210836,0.491121440236057,0.537407342582155,0.639206461057582,0.729864213421968,0.804702074904814,0.0602279284727294,0.0764176494302129,8.73233716399837e-28,0.000289167277227643
"M00055","No_random",0.0240521690141171,-0.0562048674109737,-0.0323256688630738,8.54732951083292e-13,0.00102621830297306,0.00130489578911874,0.00165912460697013,0.00210930977515307,0.00582745077876175,0.00333022438999518,0.00190108333734849,0.00108458014729458,0.0189893826148744,0.0138167582718965,0.0100387157127348,0.00728610540363206,5.32451148344566e-10,5.32451148349118e-10,5.32451148353669e-10,5.3245114835822e-10,0.118002648079802,0.118002648079802,0.00015105032777618,0.919513804553777
"M00060","Random_intercept",-0.211019889346059,0.0413593766765845,0.101944993360343,0.0549214963048907,2.03955148723644e-09,2.47221899482594e-10,2.99667195802595e-11,3.63238161388563e-12,0.463405711246757,0.566345064534308,0.663861033529267,0.749160873664638,0.00144252266097576,0.00398800437374431,0.0109758817665259,0.0298412374956058,0.536914501339264,0.667553841353984,0.776668619596729,0.857609069153284,0.729486385228632,0.737837799564995,7.20955778565123e-23,0.00857803881052206
"M00061","Random_slope",0.0891143930446873,0.0310926323183618,0.0362473671386494,0.0243448870442879,0.0253280949476617,0.0595779780287942,0.133785036838253,0.273536164007464,0.257596792684716,0.321350877537307,0.392540852388396,0.468611832800383,0.227109435819572,0.296873270321972,0.377597511886525,0.465732689301082,0.193153420954658,0.233939275397924,0.28034498924371,0.331966973679058,0.0411527946606342,0.0628893440832116,0.000350486368022455,0.104377154456433
"M00063","Random_slope",-0.0429877319211797,0.0602096180424575,0.0458920257064763,0.0700383035949863,0.015926980726181,0.0104199043764876,0.00680384582156188,0.00443705498487417,0.642236938371708,0.766236787007619,0.856838824076718,0.916167228398888,0.0277119924632167,0.043154032979796,0.0666113748740209,0.101467344441565,0.504057979573974,0.671861250417031,0.80486742052983,0.892581114278954,0.468265816007443,0.50273913061683,0.00266669353665815,0.243320292114612
"M00064","Random_slope",-0.199059413225694,0.0574960428531368,0.0322083849702954,0.0530265386940384,6.78412220440231e-09,9.26807666495609e-10,1.26615119900657e-10,1.72974276712654e-11,0.00889662304614049,0.0157012884396479,0.027565808650226,0.0479588098073248,0.0477487020735835,0.0647189372679163,0.0871684121485958,0.116435632524172,0.361234629292156,0.49006527566059,0.620229219898661,0.73512580018945,0.55182150740756,0.564375176590054,0.00092339977419969,0.455644975612057
"M00076","Random_intercept",0.0932561356445657,0.0488821396507103,0.0400386696741323,0.0329346611576602,0.00231762018368741,0.00586813649615653,0.0147773598037383,0.0367133697554891,0.019380246459394,0.0312160556349014,0.049912260830126,0.0788942675952279,0.00937433273711599,0.0139259885569376,0.0206416255493669,0.0304956401022236,0.00567615114679286,0.00787275771720237,0.010910099089401,0.0151014223466727,0.0092577434654013,0.00925774463160224,1.59269759882377e-05,0.866162281099737
"M00077","Random_intercept",0.0940227186829914,0.0751534303976507,0.0404499583654418,0.0331145517961997,0.00345374252355404,0.00879611642896412,0.0222180264559735,0.0549842109213871,0.0104159672111367,0.021829740857533,0.0451796630679965,0.091177484503794,0.0140365321387243,0.0208883038540192,0.0309795992379926,0.0457184340614378,0.00850838863023,0.0118090192707883,0.0163689138211217,0.0226491945929092,0.00961845562298289,0.00961845793100178,1.30021568539203e-05,0.626173388152562
"M00078","Random_intercept",0.037004135172557,0.0327358101183308,0.0473863005078812,0.0103882209508108,0.00682694249324359,0.00985388568168707,0.0142037271502779,0.0204341096924495,0.0678315476748209,0.0916936944666246,0.12284396237255,0.162681278821037,0.0069862074157756,0.0111738344550791,0.017826520157895,0.0283266205019589,0.00805661475489399,0.00893069398001224,0.00989865759356961,0.0109703737492191,0.0280568355652571,0.0280568355823307,8.76236887598247e-08,0.688768120582766
"M00079","Random_intercept",0.001243822074819,-0.00729882583773575,0.0377553059916614,-0.0270731063083553,0.0624789687393321,0.0632115189196783,0.0639520721786079,0.0647007021575394,0.174173130525049,0.163923042139233,0.15416356406968,0.14488444502038,0.028334092372167,0.0408009514047214,0.0584233481676181,0.0829984604651628,0.016318920840219,0.0124967944102849,0.00956116395122874,0.00731003955843248,0.0320898589975721,0.0320898590320716,0.000237982497973193,0.00779222795446262
"M00081","Random_slope",0.218157885731889,0.00439443413924928,0.0859380171369074,0.0756903290398356,7.38637922922122e-05,0.000654074453220462,0.00576564324935703,0.0488704496235031,0.073554758423347,0.0766060106764073,0.0797729383403712,0.0830590118319175,0.00511232542201378,0.0119902908769085,0.0278625117005593,0.0633974753093978,0.00651947855399792,0.0137955614366718,0.0289554620118711,0.0597649691183486,0.0417388239479864,0.0565717061896257,0.0524367886023783,0.0049096533017337
